seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,75.468,23.295,8.298,20.111,36.928,59.613,PASS
1,39.171,3.173,1.909,19.346,10.872,53.567,PASS
2,37.866,2.898,17.913,2.399,8.898,34.347,PASS
3,38.839,3.270,17.864,2.264,9.001,53.324,PASS
4,37.919,2.977,1.453,18.650,8.852,37.170,PASS
5,38.269,3.255,1.437,2.239,25.737,35.058,PASS
6,53.733,2.741,1.371,2.289,25.672,34.744,PASS
7,37.850,19.382,1.554,2.099,9.330,52.290,PASS
8,36.033,2.784,1.494,18.833,9.028,34.900,PASS
9,52.574,3.064,1.372,2.354,28.404,36.877,PASS
10,58.013,3.416,1.738,19.248,10.332,53.542,PASS
11,36.483,2.841,1.488,18.973,9.250,35.800,PASS
12,36.688,2.792,1.663,2.209,25.560,34.833,PASS
13,37.446,19.386,1.444,2.340,9.575,53.360,PASS
14,36.618,2.691,1.565,18.869,9.751,55.940,PASS
15,39.687,19.383,1.708,2.361,9.285,52.455,PASS
16,36.145,3.079,1.543,18.743,9.344,37.224,PASS
17,54.281,3.418,1.674,2.559,26.754,35.809,PASS
18,54.996,2.923,1.521,2.596,26.410,36.437,PASS
19,54.428,3.370,1.761,2.425,27.216,39.053,PASS
20,38.338,3.373,1.654,2.299,26.603,35.647,PASS
21,38.575,3.479,1.727,2.480,26.358,37.539,PASS
22,38.337,2.850,1.681,18.957,10.649,54.029,PASS
23,36.944,3.038,1.622,2.569,26.138,35.167,PASS
24,53.912,2.942,1.662,2.469,27.259,38.732,PASS
25,40.128,3.149,1.697,18.728,10.056,36.233,PASS
26,53.839,3.675,1.570,2.164,26.641,35.001,PASS
27,56.552,2.886,1.684,2.321,25.016,38.408,PASS
28,55.057,3.327,1.828,2.624,27.461,36.480,PASS
29,53.671,3.198,2.124,2.724,26.480,36.611,PASS
30,52.964,3.083,1.702,2.211,26.173,35.559,PASS
31,37.675,19.488,1.550,2.491,9.666,54.040,PASS
32,35.871,19.399,1.447,2.266,9.923,53.951,PASS
33,52.048,3.194,1.491,2.508,25.843,38.890,PASS
34,52.285,2.835,1.435,2.298,27.259,37.835,PASS
35,56.093,3.523,1.631,2.858,28.110,37.665,PASS
36,52.423,2.969,1.544,2.208,26.654,37.687,PASS
37,40.147,3.201,1.834,19.355,10.674,54.511,PASS
38,39.938,20.097,1.817,2.596,26.376,38.218,PASS
39,55.732,3.286,1.752,2.719,27.488,38.263,PASS
40,55.445,3.196,1.702,2.670,27.258,37.935,PASS
41,38.545,2.866,1.595,19.236,10.080,35.793,PASS
42,38.882,2.850,1.708,2.246,25.403,36.645,PASS
43,54.352,3.007,1.499,2.252,25.569,37.029,PASS
44,54.366,3.074,1.430,2.135,25.418,34.394,PASS
45,38.104,2.845,17.863,2.355,9.159,34.859,PASS
46,36.651,3.086,1.722,2.387,26.236,36.231,PASS
47,53.098,2.776,1.480,2.184,25.095,35.881,PASS
48,38.970,19.701,1.514,2.732,26.584,39.198,PASS
49,35.968,19.824,1.360,2.770,8.768,51.317,PASS
50,39.134,3.362,18.117,3.109,10.962,54.274,PASS
51,39.128,19.726,1.643,2.836,27.199,38.069,PASS
52,55.707,3.493,1.762,2.752,27.284,38.083,PASS
53,55.381,3.130,1.480,2.330,26.994,37.903,PASS
54,54.879,3.086,1.616,2.593,27.358,37.719,PASS
55,38.024,2.971,1.532,2.492,26.628,37.617,PASS
56,39.285,3.232,1.751,19.286,9.808,54.593,PASS
57,37.683,3.433,1.852,19.144,10.250,53.882,PASS
58,38.556,2.962,1.513,19.386,9.801,55.799,PASS
59,71.969,3.677,18.107,2.790,10.147,55.865,PASS
60,37.057,19.502,1.519,2.308,9.790,37.703,PASS
61,38.385,19.424,1.540,2.578,26.827,35.808,PASS
62,37.013,3.179,18.086,2.396,9.922,53.844,PASS
63,38.503,2.765,1.552,18.925,10.483,55.088,PASS
64,53.705,3.251,1.584,2.329,26.401,37.125,PASS
65,53.403,3.038,1.693,2.480,26.820,36.565,PASS
