seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,165.215,9.264,24.506,5.887,64.867,127.158,PASS
1,101.966,4.385,1.392,3.373,28.566,101.220,FAIL
2,97.845,3.798,1.277,2.930,27.896,100.738,FAIL
3,132.646,22.238,2.066,4.460,34.028,122.564,FAIL
4,147.863,5.658,2.087,4.153,32.302,124.891,FAIL
5,147.221,5.783,2.188,4.571,62.439,99.908,FAIL
6,98.132,20.387,1.328,2.973,27.973,94.628,FAIL
7,97.170,3.631,1.311,2.943,27.603,94.718,FAIL
8,97.431,3.649,1.347,2.934,27.603,94.538,FAIL
9,97.277,3.635,1.208,2.952,27.535,94.765,FAIL
10,97.470,3.659,1.455,19.529,10.945,94.744,FAIL
11,97.354,3.697,17.681,3.187,11.032,94.770,FAIL
12,97.217,3.638,1.254,2.953,27.530,94.824,FAIL
13,97.411,3.635,1.262,2.967,27.587,94.723,FAIL
14,97.161,3.608,1.279,2.961,27.470,94.707,FAIL
15,97.241,3.717,1.229,19.524,10.896,95.225,FAIL
16,97.386,3.634,17.694,3.250,10.974,94.787,FAIL
17,161.110,22.339,1.259,2.796,26.818,74.130,FAIL
18,76.001,19.748,1.273,2.653,9.842,90.587,FAIL
19,92.305,3.290,1.217,2.634,26.748,73.733,FAIL
20,92.708,3.279,1.194,19.190,10.245,90.679,FAIL
21,75.715,19.576,1.335,2.769,9.840,90.227,FAIL
22,92.473,3.401,1.212,2.679,26.531,73.886,FAIL
23,92.291,3.247,1.211,19.162,9.954,90.176,FAIL
24,75.844,3.282,1.168,19.142,9.793,90.104,FAIL
25,92.190,3.275,1.145,2.662,26.422,74.150,FAIL
26,92.573,3.306,1.193,2.668,26.512,90.151,FAIL
27,75.841,19.847,1.265,2.606,26.286,74.247,FAIL
28,92.312,3.331,1.122,2.653,26.404,74.140,FAIL
29,92.156,3.261,1.202,19.293,10.094,90.160,FAIL
30,159.968,5.055,1.684,3.700,29.675,101.171,FAIL
31,116.631,4.550,1.591,3.341,30.178,100.069,FAIL
32,102.981,5.039,1.570,20.395,13.988,121.235,FAIL
33,110.430,21.679,1.922,4.297,29.468,101.617,FAIL
34,102.313,4.713,1.421,3.268,13.674,117.179,FAIL
35,108.067,21.625,1.957,3.636,31.179,100.488,FAIL
36,104.989,21.761,2.014,3.755,30.444,104.609,FAIL
37,123.610,4.634,1.659,20.545,30.793,102.209,FAIL
38,105.856,23.776,1.832,3.959,31.588,125.573,FAIL
39,103.609,21.553,1.907,4.223,30.057,101.344,FAIL
40,138.011,4.672,1.740,4.029,29.475,102.496,FAIL
41,108.652,21.669,1.887,4.479,32.112,125.624,FAIL
42,128.227,4.959,1.764,20.884,31.434,109.584,FAIL
43,127.206,4.262,1.485,3.665,28.952,119.392,FAIL
44,107.957,21.632,1.723,3.867,31.326,123.306,FAIL
45,92.707,3.536,1.165,2.671,26.599,97.195,FAIL
46,124.850,5.075,1.821,20.672,31.290,105.770,FAIL
47,108.859,21.677,1.957,3.973,30.862,123.022,FAIL
48,124.085,5.090,2.000,20.482,30.939,103.064,FAIL
49,124.623,5.337,1.881,20.387,14.837,102.707,FAIL
50,134.742,22.086,1.585,3.057,27.543,74.223,FAIL
51,92.424,3.338,1.222,19.165,9.933,90.586,FAIL
52,121.195,4.483,1.685,20.068,14.450,120.172,FAIL
53,119.112,5.191,1.677,4.336,30.868,117.270,FAIL
54,120.301,4.426,1.519,3.777,30.855,118.227,FAIL
55,105.699,21.690,1.697,3.853,30.168,101.392,FAIL
56,121.340,3.649,1.263,2.712,26.744,90.334,FAIL
57,91.388,3.129,1.119,2.583,26.110,73.414,FAIL
