seq,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,pass
0,163.935,26.343,7.535,22.196,74.203,120.045,PASS
1,123.408,5.349,18.327,4.320,32.409,126.961,PASS
2,106.961,22.130,2.032,4.167,31.784,120.827,PASS
3,107.050,21.732,1.856,4.807,31.704,104.206,PASS
4,123.657,5.360,18.392,4.382,31.854,104.134,PASS
5,123.041,5.213,18.330,4.360,31.035,105.421,PASS
6,123.464,5.821,1.950,21.082,30.882,103.165,PASS
7,106.854,21.694,1.997,4.159,31.327,120.742,PASS
8,123.336,5.267,18.276,4.250,31.654,103.814,PASS
9,134.066,21.731,2.015,4.073,31.935,103.369,PASS
10,106.382,5.083,18.529,4.184,31.673,104.623,PASS
11,122.296,5.166,1.735,4.424,31.632,120.501,PASS
12,106.509,21.546,2.197,4.591,31.736,104.327,PASS
13,123.847,5.218,1.823,20.563,15.431,104.139,PASS
14,107.867,21.888,2.067,4.469,32.027,120.895,PASS
15,123.538,5.425,1.974,20.814,31.223,104.471,PASS
16,106.436,21.672,1.915,4.336,31.350,120.790,PASS
17,106.687,22.285,2.099,4.014,31.285,134.779,PASS
18,106.806,5.230,2.081,4.144,31.505,138.330,PASS
19,123.498,5.437,18.439,4.337,31.402,104.317,PASS
20,121.971,5.195,1.932,20.666,32.046,104.635,PASS
21,122.782,5.541,1.843,20.911,31.842,104.523,PASS
22,123.825,4.942,2.000,4.268,31.296,120.662,PASS
23,107.315,21.513,2.090,4.217,31.171,120.680,PASS
24,123.202,5.594,18.222,4.217,31.442,104.356,PASS
25,120.686,5.273,1.908,3.919,31.093,121.213,PASS
26,105.948,21.765,1.729,4.255,31.399,103.681,PASS
27,122.495,5.290,1.824,20.679,31.549,103.645,PASS
28,195.011,21.740,2.262,4.807,31.252,104.177,PASS
29,107.006,5.149,18.291,4.624,31.092,104.664,PASS
30,123.282,5.109,1.952,20.720,31.218,105.271,PASS
31,98.145,4.510,1.869,20.045,29.925,98.604,PASS
32,105.853,5.563,18.285,4.337,31.585,99.795,PASS
33,122.402,5.343,1.875,4.154,31.519,120.270,PASS
34,107.373,21.571,1.919,4.282,31.261,120.946,PASS
35,122.506,4.989,1.889,20.653,31.688,104.283,PASS
36,122.593,5.278,1.961,4.214,31.587,119.699,PASS
37,106.442,21.956,1.863,4.325,31.533,103.802,PASS
38,121.568,5.144,1.728,4.314,30.419,120.048,PASS
39,105.011,21.454,2.134,4.345,30.545,104.191,PASS
40,123.128,5.103,1.951,20.536,31.381,104.416,PASS
41,122.011,5.238,1.961,4.249,31.412,120.010,PASS
42,106.579,21.821,2.008,4.112,31.064,104.707,PASS
43,122.737,5.235,1.872,20.740,31.368,105.298,PASS
44,122.274,5.126,1.965,20.484,15.347,120.635,PASS
45,123.239,5.469,2.107,4.358,31.280,121.027,PASS
46,107.613,5.400,1.988,4.933,32.138,120.681,PASS
47,105.950,21.951,2.103,4.169,31.581,158.308,PASS
48,123.349,5.424,1.847,4.325,31.634,120.276,PASS
49,106.462,21.804,2.146,3.963,31.312,121.812,PASS
50,106.966,5.112,2.056,4.214,31.641,104.127,PASS
51,124.452,5.580,1.931,4.561,30.815,103.792,PASS
52,122.682,5.187,1.910,20.693,31.510,104.944,PASS
53,124.892,4.995,1.773,4.267,31.104,119.993,PASS
54,107.517,5.594,1.971,4.586,31.302,120.061,PASS
55,106.204,21.413,2.175,4.005,31.845,104.268,PASS
56,123.016,5.313,18.289,4.215,32.418,104.694,PASS
57,123.057,5.543,2.064,20.867,31.730,105.842,PASS
58,123.586,5.120,1.847,20.722,30.746,104.650,PASS
59,121.713,5.463,1.856,3.936,31.485,119.981,PASS
60,106.242,21.624,1.939,4.400,31.508,103.170,PASS
61,124.190,5.330,18.206,4.593,31.137,104.246,PASS
62,124.120,4.935,1.703,20.636,14.155,104.167,PASS
63,122.742,4.855,1.912,4.180,31.568,121.150,PASS
64,107.151,21.747,1.915,4.269,31.428,104.073,PASS
65,123.224,4.936,1.785,20.782,14.886,121.164,PASS
66,158.969,5.142,1.958,4.403,30.074,119.479,PASS
67,106.127,21.783,1.885,4.083,31.085,104.794,PASS
68,122.451,5.344,1.841,20.767,31.301,104.324,PASS
69,123.285,5.115,1.986,4.355,31.099,119.641,PASS
70,106.141,21.544,2.073,4.365,31.489,104.178,PASS
71,122.083,4.903,1.830,20.182,12.469,97.007,PASS
72,103.163,21.372,1.858,3.993,30.538,98.987,PASS
73,121.731,5.207,1.989,4.858,31.709,120.257,PASS
74,106.898,21.616,1.999,4.489,31.225,120.573,PASS
75,103.271,4.939,18.054,4.383,29.512,105.532,PASS
76,110.017,21.316,1.603,3.674,30.343,123.163,PASS
77,101.329,4.915,1.711,3.504,29.643,121.447,PASS
78,103.533,20.983,1.748,4.756,29.176,98.173,PASS
79,99.906,4.352,1.716,19.976,12.753,97.414,PASS
80,117.184,4.822,1.894,4.457,31.171,91.130,PASS
81,90.712,3.630,1.224,2.636,26.263,98.984,PASS
82,100.716,5.181,1.688,20.400,12.491,119.505,PASS
83,103.944,21.633,2.028,3.660,29.576,99.967,PASS
84,101.771,5.351,18.100,3.939,29.056,98.143,PASS
85,116.101,4.380,1.669,3.362,30.013,101.437,PASS
86,120.419,5.009,1.724,66.470,32.514,117.886,PASS
87,102.358,4.472,17.959,3.889,31.658,104.373,PASS
88,119.185,4.713,1.730,3.824,29.604,97.685,PASS
89,100.546,4.888,18.199,4.119,34.213,102.235,PASS
