seq,packet_size,tb_size,pdcp_tx_us,rlc_tx_us,mac_tx_us,mac_rx_us,rlc_rx_us,pdcp_rx_us,total_tx_us,total_rx_us,total_us,pass
0,100,256,16.380,1.260,5.850,4.770,29.700,3.780,23.490,38.250,61.740,PASS
1,100,256,7.200,3.240,6.480,1.170,6.930,4.050,16.920,12.150,29.070,PASS
2,100,256,3.330,0.720,2.430,0.630,2.250,3.150,6.480,6.030,12.510,PASS
3,100,256,2.970,0.630,2.250,0.450,2.070,2.880,5.850,5.400,11.250,PASS
4,100,256,3.060,0.450,1.980,0.540,1.890,30.960,5.490,33.390,38.880,PASS
5,100,256,4.230,0.990,2.790,0.810,2.970,3.420,8.010,7.200,15.210,PASS
6,100,256,3.330,0.720,2.430,0.720,2.250,3.330,6.480,6.300,12.780,PASS
7,100,256,3.330,0.630,2.430,0.630,2.070,3.150,6.390,5.850,12.240,PASS
8,100,256,3.420,0.540,2.250,0.630,1.980,3.060,6.210,5.670,11.880,PASS
9,100,256,3.150,0.540,2.250,0.540,1.980,3.240,5.940,5.760,11.700,PASS
0,100,1024,16.920,1.530,5.490,5.490,8.820,2.970,23.940,17.280,41.220,PASS
1,100,1024,2.880,0.540,3.510,0.450,1.890,2.610,6.930,4.950,11.880,PASS
2,100,1024,2.520,0.450,3.060,0.360,1.440,2.520,6.030,4.320,10.350,PASS
3,100,1024,2.520,0.450,3.150,0.360,1.440,2.430,6.120,4.230,10.350,PASS
4,100,1024,2.610,0.360,3.330,0.450,1.440,2.520,6.300,4.410,10.710,PASS
5,100,1024,2.610,0.360,3.240,0.360,1.530,2.520,6.210,4.410,10.620,PASS
6,100,1024,2.610,0.360,3.690,0.360,1.440,2.520,6.660,4.320,10.980,PASS
7,100,1024,2.430,0.450,3.330,0.360,1.440,2.520,6.210,4.320,10.530,PASS
8,100,1024,2.610,0.450,69.930,1.530,2.520,3.330,72.990,7.380,80.370,PASS
9,100,1024,2.700,0.450,3.690,0.450,1.620,2.520,6.840,4.590,11.430,PASS
0,500,1024,20.430,1.530,8.820,3.150,10.890,7.740,30.780,21.780,52.560,PASS
1,500,1024,7.560,0.810,3.330,0.720,3.060,7.290,11.700,11.070,22.770,PASS
2,500,1024,7.380,0.630,2.880,0.720,2.610,7.290,10.890,10.620,21.510,PASS
3,500,1024,7.290,0.630,2.880,0.630,2.610,7.200,10.800,10.440,21.240,PASS
4,500,1024,7.290,0.630,2.880,0.720,2.610,7.290,10.800,10.620,21.420,PASS
5,500,1024,7.290,0.630,2.790,0.720,2.520,7.200,10.710,10.440,21.150,PASS
6,500,1024,7.380,0.630,2.970,0.630,2.610,7.290,10.980,10.530,21.510,PASS
7,500,1024,7.380,0.630,3.150,0.630,2.520,7.200,11.160,10.350,21.510,PASS
8,500,1024,7.290,0.630,2.700,0.630,2.610,7.290,10.620,10.530,21.150,PASS
9,500,1024,7.470,0.720,3.060,0.720,2.790,7.290,11.250,10.800,22.050,PASS
0,1000,1024,48.510,4.320,12.240,7.110,18.900,16.740,65.070,42.750,107.820,PASS
1,1000,1024,17.820,1.440,4.410,1.440,6.840,17.640,23.670,25.920,49.590,PASS
2,1000,1024,18.090,1.620,4.230,1.350,6.750,17.640,23.940,25.740,49.680,PASS
3,1000,1024,17.460,1.440,3.780,1.170,6.300,17.370,22.680,24.840,47.520,PASS
4,1000,1024,17.910,1.350,3.780,1.440,6.750,73.530,23.040,81.720,104.760,PASS
5,1000,1024,20.790,11.070,56.790,3.960,16.470,20.160,88.650,40.590,129.240,PASS
6,1000,1024,17.370,1.440,3.960,1.530,6.030,16.740,22.770,24.300,47.070,PASS
7,1000,1024,17.010,1.620,4.230,1.440,6.570,31.050,22.860,39.060,61.920,PASS
8,1000,1024,19.350,2.520,5.130,1.350,7.380,16.650,27.000,25.380,52.380,PASS
9,1000,1024,17.190,1.440,4.050,1.260,5.760,16.740,22.680,23.760,46.440,PASS
0,100,2048,14.670,1.260,7.290,4.140,8.820,2.970,23.220,15.930,39.150,PASS
1,100,2048,2.880,0.630,6.480,0.450,1.800,2.610,9.990,4.860,14.850,PASS
2,100,2048,2.520,0.450,5.040,0.360,1.620,2.520,8.010,4.500,12.510,PASS
3,100,2048,2.520,0.450,5.760,0.450,1.440,2.520,8.730,4.410,13.140,PASS
4,100,2048,2.520,0.360,5.130,0.360,1.530,2.430,8.010,4.320,12.330,PASS
5,100,2048,2.520,0.360,4.950,0.450,1.530,2.610,7.830,4.590,12.420,PASS
6,100,2048,2.520,0.450,4.680,0.360,1.440,2.520,7.650,4.320,11.970,PASS
7,100,2048,2.520,0.450,5.130,0.360,1.530,2.520,8.100,4.410,12.510,PASS
8,100,2048,2.520,0.450,5.580,0.450,1.530,2.520,8.550,4.500,13.050,PASS
9,100,2048,2.520,0.360,6.030,0.450,1.440,2.520,8.910,4.410,13.320,PASS
